Perfume;Brand;Gender;Age_Group;Top;Middle;Base
hos-n-001;house-of-sillage;men;Adult (25-40);cinnamon, amber, agarwood (oud);tonka bean, cloves, ginger;vanilla, mahogany, cedar
charleston;id-parfums;women;Adult (25-40);violet leaf, apricot, bergamot;jasmine, narcissus, tuberose, clove;sandalwood, vetiver, patchouli, musk
calanques;l-occitane-en-provence;unisex;Adult (25-40);pistachio, mandarin orange, amalfi lemon;water notes, jasmine;cypress, pine, woodsy notes, benzoin
cassis-rhubarbe;l-occitane-en-provence;unisex;Adult (25-40);rhubarb, cassis, bergamot;violet leaf, geranium, lavender;artemisia, ambroxan, woodsy notes
venezia-pastello;laura-biagiotti;women;Youth (15-25);peach, black currant, raspberry, plum, cranberry;rose, heliotrope, jasmine;vanilla, sandalwood, musk, cedar
neroli;laurent-mazzone-parfums;unisex;Adult (25-40);angelica, black currant, lemon;orange blossom, neroli, lavender;peach, musk, skin
peche-delicieuse;le-monde-gourmand;unisex;Youth (15-25);peach, cinnamon, orange;caramel, white rose, cocoa;vanilla
condottiere;lubin;unisex;Mature (40+);angelica, bergamot, lemon;italian violet, blueberry, blackberry;leather, italian orris root, cashmere wood
mac-hue-mv2;mac;women;Adult (25-40);amalfi lemon;lavender;vanille, heliotrope
ambre-mythique;maitre-parfumeur-et-gantier;unisex;Mature (40+);incense, coriander, geranium, bergamot;myrrh, labdanum, lavender;vanilla, tonka bean, sandalwood, patchouli
zozo;milton-lloyd;women;Mature (40+);tuberose, orange blossom;gardenia, aldehydes, rose;powdery notes, sandalwood, amber
rose-dunes;molton-brown;unisex;Mature (40+);saffron, violet leaf, ginger, green pepper, bergamot, cassis;rose, raspberry, geranium, magnolia, lily-of-the-valley;agarwood (oud), patchouli, leather, musk, vetiver, sandalwood
shisur;molton-brown;unisex;Adult (25-40);dried fruits, caraway, iris;saffron, labdanum, orris;agarwood (oud), olibanum, cedar
oudh-osmanthus;mona-di-orio;unisex;Adult (25-40);petitgrain, elemi, green mandarin;osmanthus, cypriol oil or nagarmotha, patchouli;agarwood (oud), atlas cedar, ambergris, musk
amyitis;mona-di-orio;unisex;Mature (40+);green notes;iris, violet, guaiac wood, cedar;oakmoss, saffron, opoponax, amber
rose-summer-edition;paul-smith;women;Youth (15-25);green apple, pink pepper, amalfi lemon;rose, magnolia, violet;musk, virginia cedar, amber
father-figure;phlur;unisex;Adult (25-40);fig, water lily, cassis;orris root, iris, jasmine;musk, sandalwood, madagascar vanilla, patchouli leaf
amor-na-amora;quem-disse-berenice;women;Youth (15-25);pear, pepper, apricot, mandarin orange, raspberry;praline, rose, iris flower;woodsy notes, tonka bean, maltol, vanilla
stella-in-two-peony;stella-mccartney;women;Adult (25-40);peony, rose;pepper;patchouli, amber, virginia cedar
white-musk-midnight-iris-iris-de-minuit;the-body-shop;women;Adult (25-40);lotus, bergamot;iris, lily-of-the-valley, clary sage;musk, sandalwood, tonka bean
oud;the-spirit-of-dubai;unisex;Mature (40+);pineapple, saffron, pine, lime, black pepper, cypriol oil or nagarmotha, fruits, incense, damask rose, bergamot, pear, bitter almond, cardamom, lavender, osmanthus;agarwood (oud), jasmine, resins, olibanum, earthy notes, amberwood, myrhh, guaiac wood, red rose, rose, orchid, geranium, lily-of-the-valley, violet;indian oud, patchouli, sandalwood, cedar, leather, musk, tobacco, woodsy notes, oakmoss, ambergris, benzoin, vetiver, sweet notes, vanilla
oud-is-great;zimaya;unisex;Adult (25-40);saffron, nutmeg, lavender;agarwood, oud;patchouli, musk
found-at-dusk;miller-harris;women;Youth (15-25);bergamot, mint, lime, basil, orange, pink pepper;black currant, blackcurrant syrup, tomato leaf, bourbon geranium, raspberry;balsam fir, vanilla, musk, ambergris, patchouli
le-cedre;miller-harris;unisex;Mature (40+);pink pepper, pepper, incense;mimosa, orchid;cedar, woody notes, cashmere wood, musk
gold-ii-sahara;widian;unisex;Adult (25-40);elemi, saffron, orange;rose, orange blossom;amber, vanilla, musk, cedar
tabana;spirit-of-kings;unisex;Mature (40+);agarwood (oud), saffron, cardamom, bergamot;leather, pepper;ambergris
basso;sospiro-perfumes;unisex;Mature (40+);grapefruit;mayflower, carnation, labdanum;vetiver, cedar, sandalwood, oakmoss, nutmeg, guaiac wood, black pepper, pink pepper, celery seeds, galbanum
cacique;renier-perfumes;unisex;Youth (15-25);pine tree, labdanum, juniper berries, pink pepper, neroli;incense, indian oud, patchouli, vetiver, sandalwood, orris, jasmine;cambodian oud, caramel, raspberry, vanilla, musk
toscanello;profumi-del-forte;unisex;Mature (40+);cacao pod, rum, coffee, milk, bergamot;tobacco, honey, tea, hay;vanilla, cedar, amber, musk
versilia-vintage-boise;profumi-del-forte;unisex;Adult (25-40);bitter orange, vetyver, bergamot;lavender, geranium, white honey;virginia cedar, elemi resin, tonka bean, patchouli
agua-de-jasmim;phebo;unisex;Adult (25-40);bergamot, hyacinth, pink pepper;jasmine sambac, rose, osmanthus;musk, amber, patchouli, vanila
hana;miya-shinma;unisex;Adult (25-40);jasmine, rose;ylang-ylang, rose;iris, musk, heliotrope, patchouli
queening;mind-games;unisex;Youth (15-25);cotton flower, apple, cypress;rum, orris root, saffron;vanilla, coconut, musk
dahab;min-new-york;unisex;Mature (40+);nutmeg, saffron, galbanum, cinnamon, lime;incense, benzoin, cypress, geranium;agarwood (oud), amber, cedar, musk
black-red;mandarina-duck;men;Adult (25-40);violet leaf, sicilian citruses;geranium, orange blossom, sage;tonka bean, moss, cedar, vetiver
pure-black;mandarina-duck;men;Adult (25-40);tangerine, pepper, bergamot;tonka bean, tiare flower, african orange flower;vanilla, sandalwood, virginia cedar
americas;mahogany;men;Adult (25-40);violet leaf, black pepper, lemon;mahogany, star anise, geranium;virginia cedar, amberwood, patchouli, musk
eternal-kiss;la-rive;women;Youth (15-25);blood orange, mandarin orange;honey, orange blossom, gardenia, jasmine, peach;beeswax, caramel, licorice, patchouli
eclix;la-perla;women;Adult (25-40);bergamot, black currant;almond, lotus;cacao, vanilla, musk
ginseng-nrg;jovan;men;Adult (25-40);tea, amalfi lemon, woodsy notes, bergamot;ginger, jasmine, geranium, tonka bean, brazilian rosewood;musk, amber
what-about-adam;joop;men;Mature (40+);tomato leaf, grapefruit, mint, cassia, lemon;lavender, geranium, sandalwood, cedar;vanilla, oakmoss, vetiver, labdanum
wild-temptation;jesus-del-pozo;unisex;Mature (40+);cinnamon, peach;nutmeg, saffron;tobacco, agarwood (oud)
bem-me-quer-com-desejo;jequiti;women;Youth (15-25);raspberry, strawberry, mandarin orange, orange, black currant;orange blossom, jasmine sambac, rose, lily-of-the-valley;vanilla, cotton candy, amber, sandalwood, musk
patricia-abravanel-essence;jequiti;women;Youth (15-25);raspberry, apple, pepper;violet, gardenia, orange blossom;vanilla, sandalwood, vetiver
amour-amour;jean-patou;women;Mature (40+);strawberry, neroli, bergamot, lemon;rose, carnation, lilac, ylang-ylang, lily, jasmine, orris root, narcissus;civet, honey, vetiver, heliotrope, musk
g-oud;helan;women;Mature (40+);caramel, spicy notes, coffee, carnation;vanilla, agarwood (oud);amber, white musk
royal-saffron-oud;habibi-ny;unisex;Adult (25-40);saffron, cardamom, amber;geranium, jasmine, osmanthus;sandalwood, vetiver, patchouli, musk
20-for-woman;gianfranco-ferre;women;Adult (25-40);blackberry, mandarin orange, bergamot;bulgarian rose, iris, jasmine;sandalwood, vanilla, musk, cedar
soir-de-grasse;galimard;women;Mature (40+);violet, green notes;jasmine, rose, carnation, orange;lilac, oak moss
cascaya;gabriela-sabatini;women;Mature (40+);green notes, plum, jasmine, aldehydes, bergamot, orange, mandarin orange, lily-of-the-valley;blood orange, honeysuckle, narcissus, tuberose, peach, violet, freesia;oak moss, sandalwood, musk, vanille, virginia cedar, amber
vanille-12-00;francesca-dell-oro;unisex;Youth (15-25);white peach, pear, bergamot, mandarin orange, apple;whipped cream, vanilla, vanilla absolute, freesia, rose;macarons, caramel, tonka bean, cedar
mr-bojnokopff-s-purple-hat;fort-manle;unisex;Adult (25-40);lavender;dark chocolate, vanilla;agarwood (oud), vetiver, cedar, guaiac wood
for-life;eudora;men;Youth (15-25);pink pepper, ginger;sandalowood, cardamom, artemisia;patchouli, praline, caramel, balsamic notes, walnut
la-victorie-intense;eudora;women;Youth (15-25);pink pepper, pear, bergamot, mandarin orange, grapefruit;tuberose, ylang-ylang, orange blossom, australian sandalwood, neroli, carrot seeds;vanilla, marshmallow, patchouli, cashmere wood, ambroxan, norlimbanol
z-zegna-extreme;ermenegildo-zegna;men;Adult (25-40);mandarin orange, grapefruit;rose, gin, cardamom;cashmere wood, vetiver, musk, patchouli
polvere-di-siena;erbario-toscano;unisex;Mature (40+);black pepper, elemi, bergamot;vanilla, nutmeg, carnation, cloves, lily-of-the-valley, rose;vanilla, sandalwood, patchouli, cedar, vetiver
enrico-coveri-pour-homme;enrico-coveri;men;Mature (40+);lavender, tarragon, clary sage, nutmeg flower, bergamot;geranium, patchouli, sandalwood, brazilian rosewood, cedar;oakmoss, leather, amber, musk, tonka bean
octavian;electimuss;unisex;Adult (25-40);saffron, pink pepper;rose, olibanum;agarwood (oud), amber
sandalwood;crabtree-evelyn;men;Adult (25-40);citruses, green notes;lavender, cedar;sandalwood, vetiver, amber
old-world-jasmine-flower-water;crabtree-evelyn;women;Adult (25-40);violet, orange, lemon;jasmine, gardenia, cyclamen;musk, tuberose, white amber
tobacco;franck-boclet;men;Mature (40+);tobacco, plum, ginger;cloves, tonka bean, cedar;vanilla, benzoin, vetiver
bellodgia;caron;women;Mature (40+);carnation, rose;jasmine, violet, lily-of-the-valley;clove, sandalwood, vanille, musk
farnesiana;caron;women;Adult (25-40);mimosa, hay, black currant, bergamot;violet, jasmine, lily-of-the-valley;vanilla, sandalwood, opoponax, musk
pois-de-senteur;caron;women;Adult (25-40);hyacinth, tincture of rose, cyclamen;jasmine, lily-of-the-valley;musk, sandalwood, vanille, lime, virginia cedar
rose-ivoire-de-caron-2021;caron;women;Adult (25-40);white pepper, pink pepper, black pepper;damask rose, indian jasmine;iris, white musk, ambrette (musk mallow)
mon-amour;caline;women;Youth (15-25);anise, black currant, apple;jasmine, heliotrope, orange blossom;cashmeran, amber, vanilla, patchouli, musk, tonka bean
azzurro-di-capri;bruno-acampora;unisex;Adult (25-40);jasmine, bergamot, mandarin orange;orange blossom, patchouli, lily-of-the-valley;musk, cedar, amber
centenario;bois-1920;unisex;Adult (25-40);ylang-ylang, tiare flower, bergamot;powdery notes, coconut, iris;sandalwood, musk, jasmine
0-absolute-suede;blood-concept;unisex;Mature (40+);thyme, plum, mint;raspberry, styrax, coffee, rosemary;suede, leather, incense, cypriol oil or nagarmotha, amber
berlin-soul;birkholz;unisex;Mature (40+);hazelnut, whiskey;cedar, tobacco, iris, sandalwood, agarwood (oud), vetiver;musk, patchouli, tonka bean, amber
aubusson-homme;aubusson;men;Mature (40+);mandarin orange, juniper berries, artemisia, green notes, aldehydes, basil, lemon;fir, cinnamon, cyclamen, geranium, jasmine, carnation;patchouli, oakmoss, labdanum, leather, amber, sandalwood, musk
exquisite;attar-al-has;unisex;Youth (15-25);loukhoum, raspberry, candied fruits, pink grapefruit, cassis;pink rose, cherry blossom, dulce de leche, saffron;white musk, pistachio, woody notes, vanilla
lavande-ombree;au-pays-de-la-fleur-d-oranger;men;Mature (40+);lavender, bergamot;cedar, cinnamon, rose;leather, patchouli, musk, amber
portfolio-red;perry-ellis;men;Adult (25-40);green notes, pear;lavender, clementine, basil;musk, teak wood, sandalwood
attar-al-kaaba;al-haramain-perfumes;unisex;Youth (15-25);saffron, lemon, orange, bergamot, ylang-ylang, apricot;taif rose, patchouli, caramel, jasmine, lily-of-the-valley, iris;agarwood (oud), amber, sandalwood, musk, moss
khulasat-al-oudh;al-haramain-perfumes;men;Mature (40+);sweet notes, rose, sea notes;leather, smoke, citruses, woodsy notes;resins, amber, musk, labdanum
amber-oud-tobacco-edition;al-haramain-perfumes;unisex;Mature (40+);tobacco leaf, cinnamon, black pepper, ginger;vanilla, cloves, star anise, cacao, tonka bean, incense;tobacco, dried fruits, woodsy notes
josie;avon;women;Adult (25-40);bergamot, mandarin orange, magnolia, ylang-ylang;osmanthus, bulgarian rose, cyclamen;musk, sandalwood
surrender;avon;women;Adult (25-40);italian mandarin, sicilian bergamot, chinese tea;cashmere wood, exotic floral notes, damask rose;amber, patchouli, musk
true-gent;avon;men;Mature (40+);bay leaf;tobacco;vanilla, suede
wanted-by-night;azzaro;men;Mature (40+);cinnamon, mandarin orange, lavender, lemon;fruity notes, incense, cumin, red cedar;tobacco, vanilla, cedar, leather, benzoin, iso e super, cypress, patchouli
pink-chiffon;bath-body-works;women;Youth (15-25);wild berries, pear, peach, mandarin orange;apple blossom, tiare flower, jasmine, water lily;vanilla, coconut, orchid, musk, heliotrope, sandalwood
jasmine-green-apple;bath-body-works;women;Youth (15-25);green apple, melon, lemon, rhubarb;jasmine, white lily, honeysuckle, violet leaf;musk, apricot, white woods, amberwood
tutti-dolci-golden-honey-praline;bath-body-works;women;Youth (15-25);hazelnut, pear blossom;caramel, brazil nut, milk, salt, jasmine;praline, honey, musk, tonka bean
cool-coconut-surf;bath-body-works;women;Youth (15-25);cotton flower, lemon, pineapple;coconut nectar, gardenia, apple, cyclamen;coconut, vanilla, musk
new-york-nights;bond-no-9;unisex;Mature (40+);gardenia, carnation, jasmine;patchouli, flowers, sandalwood, sea notes;caramel, coffee
nomad;bond-no-9;unisex;Adult (25-40);pear, black currant, quince;rose, agarwood (oud), violet leaves, orris;amber, vanilla, sandalwood
fantasy-intense;britney-spears;women;Adult (25-40);litchi, pear, kiwi;white chocolate, cupcake, jasmine, orchid;patchouli, woodsy notes, musk, orris
my-burberry-black-elixir-de-parfum;burberry;women;Adult (25-40);jasmine, lemon zest;candied almond, rose;sandalwood
my-burberry-festive-eau-de-parfum;burberry;women;Youth (15-25);sweet pea, bourbon geranium, bergamot;freesia, quince;damask rose, rose, patchouli
vip-black-red;carolina-herrera;men;Mature (40+);allspice, ginger, cardamom;absinthe;leather, guaiac wood
ch-birds-of-paradise-for-him;carolina-herrera;men;Adult (25-40);chamomile, violet leaves;driftwood, fir;tonka bean, cashmere wood, sandalwood
declaration-cologne;cartier;men;Adult (25-40);bergamot, orange, mandarin orange, spices;ginger, cardamom, coriander, jasmine;vetiver, virginia cedar
la-panthere-eau-de-parfum-edition-limitee-2019;cartier;women;Mature (40+);dried fruits, rhubarb, strawberry, anise, bergamot;gardenia, pear, orange blossom, rose, ylang-ylang;leather, patchouli, musk, moss
chanel-no-5-eau-de-parfum-100th-anniversary-ask-for-the-moon-limited-edition;chanel;women;Mature (40+);aldehydes, ylang-ylang, bergamot, peach, neroli;iris, lily-of-the-valley, rose, jasmine;sandalwood, oakmoss, patchouli, vetiver, vanilla
coco-mademoiselle-intense;chanel;women;Adult (25-40);sicilian orange, calabrian bergamot, lemon;rose, fruity notes, jasmine;patchouli, madagascar vanilla, tonka bean, white musk, labdanum
paris-venise;chanel;unisex;Adult (25-40);lemon, orange, bergamot, petitgrain, pink pepper;iris, neroli, rose, ylang-ylang, geranium;tonka bean, white musk, vanilla, violet, orris, benzoin
bois-des-iles-eau-de-parfum;chanel;women;Adult (25-40);bergamot, mandarin orange;sandalwood, ylang-ylang;resins, woody notes, vanilla, tonka bean
pour-monsieur;chanel;men;Mature (40+);sicilian lemon, petitgrain, neroli;cardamom, ginger, coriander, basil;oakmoss, vetiver, cedar
sweetbriar-moss;clean;unisex;Mature (40+);sichuan pepper, mandarin orange, litchi;olibanum, flowers, rose de mai, jasmine;oakmoss, vetiver, cedar, cashmere wood, amber
eau-fraiche;dior;women;Mature (40+);lemon, mandarin orange;palisander rosewood;oakmoss, vanilla
dioressence;dior;women;Mature (40+);patchouli, green notes, aldehydes, bergamot, orange, fruity notes;geranium, cinnamon, carnation, orris root, rose, ylang-ylang, violet, jasmine, tuberose;oakmoss, patchouli, benzoin, styrax, vetiver, vanilla, musk
gris-montaigne;dior;women;Mature (40+);bergamot, grapefruit;rose, strawberry, jasmine, ylang-ylang, orange blossom;patchouli, oakmoss, sandalwood, amber, cedar, white musk
miss-dior-absolutely-blooming-roller-pearl;dior;women;Youth (15-25);pomegranate, raspberry, pink pepper, black currant;grasse rose, damask rose, peony;white musk
eau-rose-eau-de-parfum;diptyque;women;Adult (25-40);litchi;damask rose, grasse rose, rose water, chamomile, artichoke;musk, woody notes
philosykos-limited-edition;diptyque;unisex;Adult (25-40);fig leaf, fig;green notes, coconut;fig tree, woody notes, cedar
the-one-for-men-eau-de-parfum-intense;dolce-gabbana;men;Mature (40+);cardamom, neroli, cypress;cashmeran, benzoin, neroli, clary sage;leather, neroli, patchouli, labdanum
que-viva-escada;escada;women;Youth (15-25);passionfruit, pineapple;red apple, floral notes, pear;woodsy notes, musk
spellbound;estee-lauder;women;Mature (40+);apricot, rose, lily-of-the-valley;carnation, cardamom, orange blossom;sandalwood, vanilla, amber
private-collection;estee-lauder;women;Mature (40+);green notes, hiacynth, lime (linden blossom), bergamot, orange blossom, lemon;chrysanthemum, narcissus, honeysuckle, mignonette, jasmine, ylang-ylang, rose, pear;oakmoss, coriander, cedar, patchouli, sandalwood, heliotrope, amber, musk
private-collection-amber-ylang-ylang;estee-lauder;women;Mature (40+);ylang-ylang, geranium, bergamot;cinnamon, incense, bulgarian rose;amber, vanilla, sandalwood
armani-code-ultimate-femme;giorgio-armani;women;Adult (25-40);bitter orange, ginger, pear;coffee, orange blossom, jasmine sambac;vanilla bean, exotic woods
ikat-bleu;giorgio-armani;unisex;Mature (40+);pink pepper, bergamot;incense, iris, patchouli;black vanilla husk, guaiac wood, musk
emporio-armani-red-pour-elle-white;giorgio-armani;women;Adult (25-40);bergamot, mandarin orange, black currant;ginger, mint, fig leaf;musk, white woods
american-eagle-aeo-vintage;american-eagle;women;Youth (15-25);mandarin orange, apple;mango, white flowers, lotus, rose;praline, musk, white woods
myths-man;amouage;men;Mature (40+);chrysanthemum, orris;elemi, rum, vetiver, rose;ash, leather, labdanum
eaudemoiselle-de-givenchy-absolu-d-oranger;givenchy;women;Mature (40+);orange blossom, rose, jasmine;woody notes, incense, rice;vanilla, tonka bean
gentleman-cologne;givenchy;men;Adult (25-40);bergamot, lemon, petitgrain;iris, vetiver, rosemary;ambroxan, musk
les-creations-couture-ange-ou-demon-le-secret-lace-edition;givenchy;women;Adult (25-40);lemon, green tea;jasmine, lily-of-the-valley;woody notes, patchouli
eau-de-guerlain;guerlain;unisex;Mature (40+);lemon, bergamot, basil, fruity notes;bergamot, mint, caraway, lavender, carnation, jasmine, sandalwood, rose, patchouli;oakmoss, neroli, musk, amber
vetiver-extreme;guerlain;men;Mature (40+);tarragon, artemisia, licorice, lemon, bergamot;incense, pepper, nutmeg;vetiver, cedar, tonka bean
parfum-d-hermes;hermes;women;Mature (40+);aldehydes, hiacynth, galbanum, bergamot;bulgarian rose, ylang-ylang, iris, egyptian jasmine;myrrh, incense, sandalwood, spices, amber, cedar, vanilla, vetiver
rehab;initio-parfums-prives;unisex;Adult (25-40);lavender, bergamot;cedar, vetiver, patchouli;sandalwood, musk, guaiac wood
l-eau-d-issey-pour-homme-eau-d-ete-2011;issey-miyake;men;Adult (25-40);yuzu, mandarin orange;sage, cardamom;vetiver, amber
classique-eau-de-parfum-collector-2017;jean-paul-gaultier;women;Adult (25-40);rum, rose, sicilian mandarin;orchid, narcissus;vanilla, amber, tonka bean, sandalwood
kenzo-homme-eau-de-parfum;kenzo;men;Mature (40+);sea notes;leather;patchouli
zamak;lalique;unisex;Mature (40+);pink pepper, bergamot, mandarin orange;orange blossom, nutmeg, freesia;leather, vanilla, cedar
tendre;lalique;unisex;Adult (25-40);pear, lily-of-the-valley;powdery notes, rose petals, rose;vanilla, white musk
or-intemporel;lalique;unisex;Mature (40+);nutmeg, cardamom, black pepper, bergamot;tobacco, coffee, violet;vanilla, tolu balsam, patchouli
emeer;lattafa-perfumes;unisex;Adult (25-40);bergamot, lemon, clary sage, juniper berries;white tea, sandalwood, cardamom, olibanum;ambergris, cedarwood, patchouli, cashmeran
suqraat;lattafa-perfumes;men;Adult (25-40);bergamot, ginger;lavender, violet leaf;musk, sandalwood, amber
maahir-legacy;lattafa-perfumes;men;Mature (40+);lime, mint, grapefruit, lavender, pineapple;juniper berry, black pepper, rosemary, geranium, frankincense;ambroxan, oakmoss, tonka bean, vetiver, cashmeran
sur-la-route;louis-vuitton;men;Mature (40+);citruses, calabrian bergamot, lemon, pink pepper;grass, nutmeg, hedione, cardamom;leather, cedar, patchouli, peru balsam, iso e super
mugler-cologne;mugler;unisex;Adult (25-40);neroli, bergamot, petitgrain;african orange flower;musk
pardon;nasomatto;men;Adult (25-40);magnolia, flowers;dark chocolate, tonka bean, cinnamon;agarwood (oud), sandalwood
urbano-noite;natura;men;Mature (40+);watery notes, mandarin orange, lavender, lemon, sage, cardamom, zinnia;ginger, pepper, nutmeg;tonka bean, musk, amber, leather, sandalowood
humor-on-line;natura;men;Adult (25-40);citruses, spices;pomelo, pink pepper;pitanga, coumarin
kriska-sonhos;natura;women;Youth (15-25);peach, mandarin orange, cherry, apple;dulce de leche, paramela, jasmine, peony, lily-of-the-valley;vanilla, cacao, sandalwood, musk, copaiba balm, cedar
luna-intenso;natura;women;Adult (25-40);black currant, peach, pear;rose, jasmine sambac, violet, orange blossom, lily-of-the-valley;patchouli, vanilla, cedar, sandalwood, musk
una-somos;natura;women;Adult (25-40);orange, bergamot;davana, jasmine, rose;vanilla, sandalwood
ani-x;nishane;unisex;Youth (15-25);lemon, bergamot, melon, ginger, cardamom, water notes, pink pepper;green apple, black currant, patchouli, lavender, sage, rose;vanilla, sandalwood, cashmere wood, white musk, ambergris, cedar
wulong-cha-x;nishane;unisex;Adult (25-40);yuzu, bergamot, litsea cubeba, mandarin orange;green tea, magnolia, thyme;musk, fig
lily-divine;o-boticario;women;Adult (25-40);pink pepper, red tea, mandarin orange, bergamot;lily, violet leaf, black orchid, jasmine, fig;sandalwood, amber, vanilla, musk, peru balsam
black-xs-potion-for-him;paco-rabanne;men;Adult (25-40);juniper;cashmere wood, wormwood;rum, labdanum
major-me;paco-rabanne;unisex;Mature (40+);cherry, pepper;incense, agarwood (oud), patchouli;moss, benzoin
monsieur-beauregard;penhaligon-s;men;Adult (25-40);lemon, pink pepper;orris root, benzoin, cinnamon;sandalwood, tonka bean, patchouli
polo-red-remix;ralph-lauren;men;Adult (25-40);mandarin orange, cranberry, cardamom;clary sage, saffron, geranium;coffee, amberwood, patchouli, tonka bean
la-yuqawam-ambergris-showers;rasasi;men;Mature (40+);violet leaves, tangerine, galbanum;mate, clary sage;leather, vetiver, styrax
roberto-cavalli-deep-desire;roberto-cavalli;women;Adult (25-40);mandarin orange, pink pepper;cacao, orange blossom, jasmine sambac;vanilla, tonka bean, patchouli
51-pour-femme;roja-dove;women;Youth (15-25);bergamot;ylang-ylang, gardenia, raspberry, tuberose, jasmine, rose, orange blossom, lily-of-the-valley;vanilla, cashmere wood, sandalwood, benzoin, orris root, violet leaf, cinnamon, anise, patchouli, cloves
goodman-s-bergdorf-goodman;roja-dove;men;Mature (40+);bergamot, mandarin orange;neroli, jasmine, rose, ylang-ylang;vetiver, olibanum, coriander, patchouli, castoreum, musk, cinnamon, cardamom, cedar, civet
lily;roja-dove;women;Mature (40+);lemon, bergamot;lily, tiare flower, ylang-ylang, jasmine, cloves, carnation, rose;vanilla, musk, woody notes
black-orchid-perfume-lalique-edition;tom-ford;women;Mature (40+);truffle, black currant, jasmine, ylang-ylang, bergamot, orange, gardenia, lemon;orchid, spices, jasmine, ylang-ylang, lotus, fruits, gardenia;patchouli, amber, incense, chocolate, vetiver, sandalwood, vanilla, white musk
tuscan-leather;tom-ford;unisex;Mature (40+);raspberry, saffron, thyme;olibanum, jasmine;leather, suede, woody notes, amber
valentino-uomo;valentino;men;Mature (40+);bergamot, myrtle;hazelnut, chocolate, roasted coffee beans;leather, cedar
flowerbomb-la-vie-en-rose-2014;viktor-rolf;women;Adult (25-40);mandarin orange, grapefruit, pink pepper, green tea;rose, orchid, jasmine;amber, cashmeran, patchouli
cuir;yves-saint-laurent;unisex;Mature (40+);rum, saffron, ginger;tobacco, black tea, osmanthus;leather, guaiac wood, agarwood (oud)
libre-le-parfum;yves-saint-laurent;women;Adult (25-40);ginger, saffron, mandarin orange, bergamot;orange blossom, lavender;bourbon vanilla, honey, tonka bean, vetiver
tous-man-les-colognes-concentrees;tous;men;Adult (25-40);grapefruit, orange blossom;guaiac wood, mint;vetiver, tonka bean
aloha-aqua;oriflame;women;Adult (25-40);water notes;floral notes;metallic notes, amber
aloha-pink;oriflame;women;Youth (15-25);coconut, pineapple;exotic floral notes;vanilla, musk
signature-for-him-parfum;oriflame;men;Youth (15-25);pink pepper, bergamot, lemon;apple, geranium, clary sage;cedar, ambroxan, patchouli
so-fever-together-for-him;oriflame;men;Mature (40+);violet leaves, bergamot, mandarin orange;sweet pepper, clary sage, cinnamon;leather, patchouli, labdanum
asja-fendi;fendi;women;Mature (40+);apricot, raspberry, peach, bergamot, lemon;carnation, cinnamon, honey, nutmeg, ylang-ylang, orris root, bulgarian rose, mimosa, orchid, egyptian jasmine, lily-of-the-valley;benzoin, sandalwood, amber, styrax, vanilla, musk, cedar
ariels;dzintars;women;Mature (40+);violet, lily-of-the-valley, black currant;rose, jasmine, hyacinth, carnation;musk, sandalwood, amber
quadrille;balenciaga;women;Adult (25-40);plum, peach, lemon;cardamom, cloves, jasmine;amber, musk
blue-seduction-energy-aqua;antonio-banderas;men;Adult (25-40);lemon, mint, bergamot, lavender;black pepper, geranium, cinnamon;cedar, peru balsam, musk, sandalwood
tabac-libre;angelos-creations-olfactives;unisex;Mature (40+);tobacco leaf, cognac, rum, coffee, saffron, cardamom;tobacco, hay, immortelle, raspberry, plum, osmanthus, violet, carnation, orris, heliotrope, carrot seeds;opoponax, oakmoss, patchouli, castoreum, cedar, tonka bean, sandalwood, cypriol oil or nagarmotha, mushroom
colors-man-black;benetton;men;Adult (25-40);black pepper, nutmeg, bergamot;patchouli, vetiver, lavender, suede;agarwood (oud), vanila, amber, musk
royal-egyptian-amber-and-honeysuckle;lucy-b;women;Adult (25-40);honeysuckle, peach;jasmine, patchouli;amber, cashmere wood
nuit-d-azar;rituals;men;Adult (25-40);black currant, ginger;sage, geranium;woody notes, vetiver
haze-extreme;aaron-terence-hughes;unisex;Youth (15-25);pink grapefruit, sweet orange, lemon, hedione;pineapple, black currant, galbanum, pink pepper;white musk, ambergris, rose, patchouli
interplay-extrait;alexandria-fragrances;unisex;Adult (25-40);bitter almond, saffron;cedar, jasmine;ambergris, musk, woody notes
silver-birch;amouroud;unisex;Adult (25-40);fig, cardamom, mandarin orange;papyrus, orange blossom, egyptian jasmine;suede, bourbon vetiver, ylang-ylang
ambre-delicieuse;arteolfatto;unisex;Adult (25-40);spices, citruses;rose;amber, patchouli, vanilla
24-old-bond-street-triple-extract;atkinsons;unisex;Adult (25-40);juniper berries, cardamom;whiskey, rose;black tea, ambergris, musk, cedar
bentley-for-men-absolute;bentley;men;Adult (25-40);pink pepper, ginger;olibanum, papyrus, sandalwood;atlas cedar, agarwood (oud), amber, moss
legend;boadicea-the-victorious;unisex;Adult (25-40);ylang-ylang, neroli, coriander, mandarin orange;orris, violet, jasmine, lily-of-the-valley, rose, magnolia;agarwood (oud), sandalwood, amber, vanilla, cedar, patchouli, musk, vetiver
bayswater;boadicea-the-victorious;unisex;Mature (40+);nutmeg, coriander;rose, sandalwood;benzoin, agarwood (oud), guaiac wood, leather
notting-hill;boadicea-the-victorious;unisex;Mature (40+);cardamom, pink pepper, almond;loukhoum, hedione, geranium;incense, rock rose, patchouli, oakmoss, vanilla, musk, amber, cedar
